F,Altitude,Country,Fragmentation_Devices,Fragmentation_Devices_Type,Fragmentation_Devices_Weight,Fragmentation_Devices_Weight_Tons,High_Explosives,High_Explosives_Type,High_Explosives_Weight,High_Explosives_Weight_Tons,Incendiary_Devices,Incendiary_Devices_Type,Incendiary_Devices_Weight,Incendiary_Devices_Weight_Tons,Mission_Date,Mission_ID,Takeoff_Base,Takeoff_Latitude,Takeoff_Location,Takeoff_Longitude,Target_City,Target_Country,Target_Latitude,Target_Longitude,Theater_of_Operations,Total_Weight,Total_Weight_Tons
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/23/1941,82327,SHALLUFA,30.2469,EGYPT,32.4923,NEAR BOMBA,LIBYA,32.4,23.13,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/24/1941,82357,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,ACROMA,LIBYA,32.05,23.7,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/24/1941,82358,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,BARDIA - CAPUZZO,LIBYA,32.04,23.95,MTO,,0
A36,,USA,,,,,88,500 LB GP (GP-M43/M64),,22,,,,,4/23/1944,82621,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,ORVIETO,ITALY,42.72,12.12,MTO,,22
A36,,USA,,,,,12,500 LB GP (GP-M43/M64),,3,,,,,4/23/1944,82662,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,FORMIA,ITALY,41.25,13.62,MTO,,3
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/30/1941,83021,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,DERNA,LIBYA,32.77,22.63,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/30/1941,83022,SHALLUFA,30.2469,EGYPT,32.4923,DERNA TOWN,LIBYA,32.77,22.63,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,5/1/1941,83026,SHALLUFA,30.2469,EGYPT,32.4923,BENGHAZI,LIBYA,32.11,20.05,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,5/1/1941,83027,SHALLUFA,30.2469,EGYPT,32.4923,GAZALA,LIBYA,32.15,23.36,MTO,,0
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,4/23/1944,83510,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,PARMA,,44.8,10.35,,,21
A36,,USA,,,,,28,500 LB GP (GP-M43/M64),,7,,,,,4/25/1944,84616,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,ITRI,ITALY,41.28,13.53,MTO,,7
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,4/25/1944,84621,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,FONDI,ITALY,41.45,13.45,MTO,,4
